"2021-09-16T19:51:01Z",",","Sell",",","47678.0",",","1.0"
"2021-09-16T19:51:02Z",",","Buy",",","47678.5",",","100.0"
"2021-09-16T19:51:11Z",",","Buy",",","47678.5",",","434.0"
"2021-09-16T19:51:16Z",",","Sell",",","47678.0",",","100.0"
"2021-09-16T19:51:18Z",",","Sell",",","47678.0",",","50.0"
"2021-09-16T19:51:20Z",",","Buy",",","47678.5",",","10.0"
"2021-09-16T19:51:20Z",",","Buy",",","47678.5",",","16866.0"
"2021-09-16T19:51:20Z",",","Sell",",","47678.0",",","434.0"
"2021-09-16T19:51:25Z",",","Buy",",","47678.5",",","909.0"
"2021-09-16T19:51:27Z",",","Sell",",","47678.0",",","2140.0"
"2021-09-16T19:51:29Z",",","Sell",",","47678.0",",","377.0"
"2021-09-16T19:51:31Z",",","Buy",",","47678.5",",","4.0"
"2021-09-16T19:51:32Z",",","Sell",",","47678.0",",","50000.0"
"2021-09-16T19:51:32Z",",","Buy",",","47678.5",",","2800.0"
"2021-09-16T19:51:33Z",",","Sell",",","47678.0",",","12.0"
"2021-09-16T19:51:34Z",",","Sell",",","47678.0",",","2500.0"
"2021-09-16T19:51:35Z",",","Buy",",","47678.5",",","1719.0"
"2021-09-16T19:51:36Z",",","Buy",",","47678.5",",","500.0"
"2021-09-16T19:51:45Z",",","Buy",",","47678.5",",","2000.0"
"2021-09-16T19:51:52Z",",","Buy",",","47678.5",",","131.0"
